ENSG00000228572.7,ENST00000431238.7
ENSG00000182378.15,ENST00000399012.6
ENSG00000182378.15,ENST00000484611.7
ENSG00000182378.15,ENST00000430923.7
ENSG00000182378.15,ENST00000445062.6
ENSG00000182378.15,ENST00000429181.6
ENSG00000182378.15,ENST00000381657.8
ENSG00000182378.15,ENST00000443019.6
ENSG00000182378.15,ENST00000415337.6
ENSG00000182378.15,ENST00000447472.6
ENSG00000182378.15,ENST00000448477.6
ENSG00000178605.13,ENST00000485332.7
ENSG00000178605.13,ENST00000326153.9
ENSG00000226179.6,ENST00000391707.7
ENSG00000167393.18,ENST00000390665.9
ENSG00000167393.18,ENST00000479438.6
ENSG00000167393.18,ENST00000477110.6
ENSG00000167393.18,ENST00000468169.6
ENSG00000167393.18,ENST00000484364.6
ENSG00000167393.18,ENST00000477636.6
ENSG00000167393.18,ENST00000445792.7
ENSG00000167393.18,ENST00000496630.6
ENSG00000167393.18,ENST00000475859.6
ENSG00000167393.18,ENST00000381625.9
ENSG00000281849.3,ENST00000627721.3
ENSG00000275287.5,ENST00000610676.5
ENSG00000280767.3,ENST00000627627.3
ENSG00000234958.6,ENST00000452144.6
ENSG00000229232.6,ENST00000431919.6
ENSG00000185960.15,ENST00000381578.6
ENSG00000185960.15,ENST00000334060.8
ENSG00000185960.15,ENST00000686671.1
ENSG00000185960.15,ENST00000381575.6
ENSG00000237531.6,ENST00000420865.6
ENSG00000225661.7,ENST00000436474.6
ENSG00000205755.12,ENST00000381566.6
ENSG00000205755.12,ENST00000400841.8
ENSG00000205755.12,ENST00000467626.6
ENSG00000205755.12,ENST00000381567.8
ENSG00000198223.18,ENST00000498153.7
ENSG00000198223.18,ENST00000381524.8
ENSG00000198223.18,ENST00000493312.6
ENSG00000198223.18,ENST00000696230.1
ENSG00000198223.18,ENST00000381529.9
ENSG00000198223.18,ENST00000412290.6
ENSG00000198223.18,ENST00000432318.8
ENSG00000198223.18,ENST00000381509.8
ENSG00000198223.18,ENST00000494969.7
ENSG00000198223.18,ENST00000481245.6
ENSG00000198223.18,ENST00000355432.8
ENSG00000198223.18,ENST00000355805.7
ENSG00000198223.18,ENST00000486791.6
ENSG00000198223.18,ENST00000381500.6
ENSG00000198223.18,ENST00000477940.6
ENSG00000198223.18,ENST00000478256.6
ENSG00000198223.18,ENST00000475259.6
ENSG00000198223.18,ENST00000491683.6
ENSG00000265658.6,ENST00000580266.6
ENSG00000223274.6,ENST00000411342.6
ENSG00000185291.12,ENST00000381469.7
ENSG00000185291.12,ENST00000331035.10
ENSG00000185291.12,ENST00000432757.6
ENSG00000169100.14,ENST00000381401.11
ENSG00000169100.14,ENST00000475167.6
ENSG00000169100.14,ENST00000484026.6
ENSG00000236871.7,ENST00000434938.7
ENSG00000236871.7,ENST00000430235.7
ENSG00000236017.8,ENST00000443929.6
ENSG00000236017.8,ENST00000425740.7
ENSG00000236017.8,ENST00000420411.7
ENSG00000236017.8,ENST00000419737.7
ENSG00000236017.8,ENST00000602357.6
ENSG00000169093.16,ENST00000381317.9
ENSG00000169093.16,ENST00000534940.6
ENSG00000169093.16,ENST00000381333.9
ENSG00000169093.16,ENST00000463763.6
ENSG00000169093.16,ENST00000462195.6
ENSG00000169093.16,ENST00000474865.6
ENSG00000182162.11,ENST00000381297.10
ENSG00000182162.11,ENST00000460672.6
ENSG00000197976.12,ENST00000313871.9
ENSG00000197976.12,ENST00000474361.6
ENSG00000197976.12,ENST00000381261.8
ENSG00000196433.13,ENST00000381241.9
ENSG00000196433.13,ENST00000381229.9
ENSG00000196433.13,ENST00000381233.8
ENSG00000196433.13,ENST00000509780.6
ENSG00000196433.13,ENST00000432523.6
ENSG00000289620.1,ENST00000691936.1
ENSG00000223511.7,ENST00000427886.6
ENSG00000223511.7,ENST00000432272.7
ENSG00000234622.6,ENST00000453953.6
ENSG00000169084.15,ENST00000334651.11
ENSG00000169084.15,ENST00000412516.7
ENSG00000169084.15,ENST00000464935.6
ENSG00000169084.15,ENST00000444280.6
ENSG00000169084.15,ENST00000441131.7
ENSG00000169084.15,ENST00000478825.7
ENSG00000169084.15,ENST00000430536.7
ENSG00000223571.6,ENST00000437244.6
ENSG00000214717.12,ENST00000381222.8
ENSG00000214717.12,ENST00000381223.9
ENSG00000214717.12,ENST00000652001.1
ENSG00000214717.12,ENST00000515319.6
ENSG00000214717.12,ENST00000381218.8
ENSG00000214717.12,ENST00000461691.6
ENSG00000289007.1,ENST00000686824.1
ENSG00000289007.1,ENST00000693756.1
ENSG00000289007.1,ENST00000692325.1
ENSG00000289007.1,ENST00000693110.1
ENSG00000289007.1,ENST00000692674.1
ENSG00000289007.1,ENST00000692094.1
ENSG00000289007.1,ENST00000688729.1
ENSG00000289007.1,ENST00000688481.1
ENSG00000277120.5,ENST00000616698.5
ENSG00000223773.8,ENST00000691003.1
ENSG00000223773.8,ENST00000431582.6
ENSG00000223773.8,ENST00000430562.7
ENSG00000223773.8,ENST00000689252.1
ENSG00000223773.8,ENST00000685470.1
ENSG00000223773.8,ENST00000527459.7
ENSG00000223773.8,ENST00000688123.1
ENSG00000223773.8,ENST00000435581.7
ENSG00000223773.8,ENST00000414513.7
ENSG00000230542.6,ENST00000445785.6
ENSG00000002586.20,ENST00000611428.5
ENSG00000002586.20,ENST00000381187.8
ENSG00000002586.20,ENST00000381184.6
ENSG00000002586.20,ENST00000647297.1
ENSG00000002586.20,ENST00000645950.1
ENSG00000002586.20,ENST00000381192.10
ENSG00000002586.20,ENST00000482405.7
ENSG00000002586.20,ENST00000624481.4
ENSG00000002586.20,ENST00000646103.1
ENSG00000002586.20,ENST00000381180.9
ENSG00000002586.20,ENST00000623253.4
ENSG00000002586.20,ENST00000449611.6
ENSG00000002586.20,ENST00000482293.6
ENSG00000002586.20,ENST00000497752.7
ENSG00000002586.20,ENST00000381177.7
ENSG00000124343.14,ENST00000644266.2
ENSG00000124343.14,ENST00000419513.7
ENSG00000124343.14,ENST00000509484.3
ENSG00000124343.14,ENST00000381174.10
ENSG00000124343.14,ENST00000503018.1
ENSG00000124343.14,ENST00000519244.1
ENSG00000056998.20,ENST00000381163.7
ENSG00000056998.20,ENST00000381161.5
ENSG00000056998.20,ENST00000398806.8
ENSG00000056998.20,ENST00000520904.3
ENSG00000056998.20,ENST00000469234.6
ENSG00000056998.20,ENST00000353656.10
ENSG00000056998.20,ENST00000639373.1
ENSG00000056998.20,ENST00000453106.1
ENSG00000056998.20,ENST00000381157.2
ENSG00000235483.1,ENST00000445107.1
ENSG00000006756.16,ENST00000381154.6
ENSG00000006756.16,ENST00000458014.1
ENSG00000006756.16,ENST00000495294.1
ENSG00000006756.16,ENST00000217890.10
ENSG00000006756.16,ENST00000481340.1
ENSG00000006756.16,ENST00000494870.5
ENSG00000006756.16,ENST00000559324.1
ENSG00000229851.1,ENST00000414053.1
ENSG00000157399.17,ENST00000683191.1
ENSG00000157399.17,ENST00000681963.1
ENSG00000157399.17,ENST00000682184.1
ENSG00000157399.17,ENST00000684364.1
ENSG00000157399.17,ENST00000683677.1
ENSG00000157399.17,ENST00000683290.1
ENSG00000157399.17,ENST00000684117.1
ENSG00000157399.17,ENST00000540563.6
ENSG00000157399.17,ENST00000381134.9
ENSG00000157399.17,ENST00000673032.1
ENSG00000157399.17,ENST00000672097.1
ENSG00000157399.17,ENST00000672761.1
ENSG00000157399.17,ENST00000545496.6
ENSG00000157399.17,ENST00000684077.1
ENSG00000157399.17,ENST00000684738.1
ENSG00000157399.17,ENST00000682364.1
ENSG00000157399.17,ENST00000672027.1
ENSG00000157399.17,ENST00000684687.1
ENSG00000157399.17,ENST00000683958.1
ENSG00000157399.17,ENST00000672606.1
ENSG00000157399.17,ENST00000438544.5
ENSG00000157399.17,ENST00000682745.1
ENSG00000157399.17,ENST00000684045.1
ENSG00000157399.17,ENST00000681960.1
ENSG00000157399.17,ENST00000683071.1
ENSG00000157399.17,ENST00000483425.2
ENSG00000157399.17,ENST00000683854.1
ENSG00000205667.3,ENST00000381130.3
ENSG00000062096.15,ENST00000381127.6
ENSG00000062096.15,ENST00000359361.2
ENSG00000239228.3,ENST00000477781.3
ENSG00000230249.1,ENST00000443851.1
ENSG00000228459.5,ENST00000457435.2
ENSG00000228459.5,ENST00000668004.1
ENSG00000228459.5,ENST00000668035.2
ENSG00000228459.5,ENST00000656741.1
ENSG00000228459.5,ENST00000688525.1
ENSG00000228459.5,ENST00000686467.1
ENSG00000101825.8,ENST00000217939.7
ENSG00000213487.3,ENST00000439462.1
ENSG00000212214.1,ENST00000390912.1
ENSG00000207435.1,ENST00000384704.1
ENSG00000183943.6,ENST00000262848.6
ENSG00000183943.6,ENST00000462736.1
ENSG00000183943.6,ENST00000496648.1
ENSG00000183943.6,ENST00000425240.1
ENSG00000207332.1,ENST00000384602.1
ENSG00000207320.1,ENST00000384590.1
ENSG00000236188.1,ENST00000414074.1
ENSG00000182888.5,ENST00000329806.5
ENSG00000285756.2,ENST00000461011.6
ENSG00000285756.2,ENST00000469903.5
ENSG00000285756.2,ENST00000653447.1
ENSG00000285756.2,ENST00000669937.1
ENSG00000285756.2,ENST00000483854.6
ENSG00000285756.2,ENST00000475317.5
ENSG00000285756.2,ENST00000490920.2
ENSG00000285756.2,ENST00000662024.1
ENSG00000285756.2,ENST00000425492.5
ENSG00000285756.2,ENST00000648217.1
ENSG00000285756.2,ENST00000657193.1
ENSG00000285756.2,ENST00000471090.5
ENSG00000285756.2,ENST00000671495.1
ENSG00000285756.2,ENST00000486571.1
ENSG00000285756.2,ENST00000671583.1
ENSG00000285756.2,ENST00000650456.1
ENSG00000285756.2,ENST00000657698.1
ENSG00000285756.2,ENST00000661656.1
ENSG00000285756.2,ENST00000661924.1
ENSG00000285756.2,ENST00000381108.3
ENSG00000285756.2,ENST00000655273.1
ENSG00000285756.2,ENST00000669719.1
ENSG00000285756.2,ENST00000456563.1
ENSG00000285756.2,ENST00000650538.1
ENSG00000285756.2,ENST00000438107.1
ENSG00000285756.2,ENST00000424415.2
ENSG00000285756.2,ENST00000451781.1
ENSG00000285756.2,ENST00000381106.4
ENSG00000285756.2,ENST00000381105.2
ENSG00000286431.1,ENST00000660920.1
ENSG00000225722.1,ENST00000427883.1
